KeV,Counts
5174,0
5176,2
5178,3
5180,4
5182,2
5184,2
5186,1
5188,2
5190,3
5192,2
5194,2
5196,0
5198,4
5200,0
5202,2
5204,1
5206,3
5208,1
5210,6
5212,4
5214,2
5216,2
5218,3
5220,5
5222,2
5224,2
5226,3
5228,1
5230,1
5232,2
5234,2
5236,1
5238,3
5240,1
5242,2
5244,1
5246,1
5248,1
5250,0
5252,0
5254,3
5256,2
5258,1
5260,0
5262,5
5264,4
5266,4
5268,3
5270,4
5272,2
5274,4
5276,1
5278,1
5280,5
5282,2
5284,3
5286,0
5288,2
5290,0
5292,0
5294,3
5296,2
5298,1
5300,1
5302,3
5304,2
5306,3
5308,2
5310,3
5312,2
5314,1
5316,0
5318,0
5320,4
5322,1
5324,0
5326,2
5328,1
5330,1
5332,2
5334,5
5336,3
5338,1
5340,4
5342,0
5344,1
5346,0
5348,1
5350,2
5352,1
5354,2
5356,2
5358,2
5360,1
5362,5
5364,0
5366,4
5368,0
5370,1
5372,2
5374,1
